run_label,query_index,tenant_id,query,reference_answer,audit_target,raw_ndcg,target_ndcg,credited_rank,credited_memory_id,credited_kind,credited_content,credited_query_view_text,credited_source,raw_support_rank,raw_support_memory_id,raw_support_content,expected_fixture_indexes,candidate_answers
longmemeval_bge_m3,1,longmemeval_e47becba,What degree did I graduate with?,Business Administration,source_family,0.0,0.6131471927654584,1,mem_fad62d831c413e9a,observation,"I graduated with a degree in Business Administration, which has definitely helped me in my new role",,eval_row_530:run_1773452253430_37608_eaee9fa5:parser,,,,"[530, 531]","[""I graduated with a degree in Business Administration, which has definitely helped me in"", ""Well, I'm glad you had a great time at the festival"", ""By the way, the World Series just ended, and I was rooting for the"", ""I'm excited to try them out and see which one I like best"", ""I've been wanting to try meditation and mindfulness practices, but I don't know where"", ""I was doing pretty well for a bit, but then I had a big""]"
longmemeval_bge_m3,1,longmemeval_e47becba,What degree did I graduate with?,Business Administration,canonical,0.0,1.0,1,mem_fad62d831c413e9a,observation,"I graduated with a degree in Business Administration, which has definitely helped me in my new role",,eval_row_530:run_1773452253430_37608_eaee9fa5:parser,,,,"[530, 531]","[""I graduated with a degree in Business Administration, which has definitely helped me in"", ""Well, I'm glad you had a great time at the festival"", ""By the way, the World Series just ended, and I was rooting for the"", ""I'm excited to try them out and see which one I like best"", ""I've been wanting to try meditation and mindfulness practices, but I don't know where"", ""I was doing pretty well for a bit, but then I had a big""]"
longmemeval_bge_m3,4,longmemeval_58bf7951,What play did I attend at the local community theater?,The Glass Menagerie,source_family,0.0,0.5,3,mem_fcf1e5bd5851232c,observation,"The play I attended was actually a production of The Glass Menagerie, have you heard of it","when did The was actually a production of The Glass Menagerie
what event did The attend was actually a production of The Glass Menagerie",eval_row_1887:run_1773452253430_37608_eaee9fa5:parser,,,,[1887],"[""By the way, I recently went to a play at the local community theater"", ""If you'd like to discuss more about the play, the community theater, or Emily's"", ""Perhaps you could encourage Emily to audition for a role at the community theater"", ""Community theaters are wonderful platforms for local artists to showcase their skills, and it's"", ""The play I attended was actually a production of The Glass Menagerie, have you"", ""Half Moon Bay Coffee Company is a local favorite, and I'm sure you'll enjoy""]"
longmemeval_bge_m3,4,longmemeval_58bf7951,What play did I attend at the local community theater?,The Glass Menagerie,canonical,0.0,0.5,3,mem_fcf1e5bd5851232c,observation,"The play I attended was actually a production of The Glass Menagerie, have you heard of it","when did The was actually a production of The Glass Menagerie
what event did The attend was actually a production of The Glass Menagerie",eval_row_1887:run_1773452253430_37608_eaee9fa5:parser,,,,[1887],"[""By the way, I recently went to a play at the local community theater"", ""If you'd like to discuss more about the play, the community theater, or Emily's"", ""Perhaps you could encourage Emily to audition for a role at the community theater"", ""Community theaters are wonderful platforms for local artists to showcase their skills, and it's"", ""The play I attended was actually a production of The Glass Menagerie, have you"", ""Half Moon Bay Coffee Company is a local favorite, and I'm sure you'll enjoy""]"
longmemeval_bge_m3,21,longmemeval_c8c3f81d,What brand are my favorite running shoes?,Nike,source_family,0.0,1.0,1,mem_45d28a6f4c03b61b,observation,Nike has been my favourite brand so far for running shoes,,eval_row_10558:run_1773452253430_37608_eaee9fa5:parser,,,,[10558],"[""Nike has been my favourite brand so far for running shoes"", ""Nike is a great choice for running shoes"", ""If you'll be running, look for shoes with good cushioning and support"", ""I'm actually looking for something specific, like a new pair of running shoes"", ""I think my favorite song from The Book of Mormon is probably \""I Believe"", ""I think I'll try the Spaghetti Aglio e Olio with Shrimp, I love spicy""]"
longmemeval_bge_m3,21,longmemeval_c8c3f81d,What brand are my favorite running shoes?,Nike,canonical,0.0,1.0,1,mem_45d28a6f4c03b61b,observation,Nike has been my favourite brand so far for running shoes,,eval_row_10558:run_1773452253430_37608_eaee9fa5:parser,,,,[10558],"[""Nike has been my favourite brand so far for running shoes"", ""Nike is a great choice for running shoes"", ""If you'll be running, look for shoes with good cushioning and support"", ""I'm actually looking for something specific, like a new pair of running shoes"", ""I think my favorite song from The Book of Mormon is probably \""I Believe"", ""I think I'll try the Spaghetti Aglio e Olio with Shrimp, I love spicy""]"
longmemeval_bge_m3,36,longmemeval_60d45044,What type of rice is my favorite?,Japanese short-grain rice,source_family,0.0,1.0,1,mem_351aab250ec394ba,observation,I was thinking of making some Japanese-style dishes with my favorite Japanese short-grain rice,"what does user like
what does user prefer
what does user enjoy I was thinking of making some Japanese-style dishes with my favorite Japanese short-grain rice",eval_row_17864:run_1773452253430_37608_eaee9fa5:parser,,,,[17864],"[""I was thinking of making some Japanese-style dishes with my favorite Japanese short-grain rice"", ""Short-grain rice is perfect for Japanese-style dishes"", ""Serve with steamed short-grain rice and stir-fried vegetables"", ""Serve with steamed short-grain rice and a sprinkle of salt"", ""I'm thinking of getting her a cookbook by her favorite chef"", ""Serve with steamed short-grain rice and a drizzle of soy sauce""]"
longmemeval_bge_m3,36,longmemeval_60d45044,What type of rice is my favorite?,Japanese short-grain rice,canonical,0.0,1.0,1,mem_351aab250ec394ba,observation,I was thinking of making some Japanese-style dishes with my favorite Japanese short-grain rice,"what does user like
what does user prefer
what does user enjoy I was thinking of making some Japanese-style dishes with my favorite Japanese short-grain rice",eval_row_17864:run_1773452253430_37608_eaee9fa5:parser,,,,[17864],"[""I was thinking of making some Japanese-style dishes with my favorite Japanese short-grain rice"", ""Short-grain rice is perfect for Japanese-style dishes"", ""Serve with steamed short-grain rice and stir-fried vegetables"", ""Serve with steamed short-grain rice and a sprinkle of salt"", ""I'm thinking of getting her a cookbook by her favorite chef"", ""Serve with steamed short-grain rice and a drizzle of soy sauce""]"
longmemeval_bge_m3,40,longmemeval_ec81a493,How many copies of my favorite artist's debut album were released worldwide?,500,source_family,0.0,1.0,1,mem_a771ac69efc214c3,observation,"I was thinking of displaying my signed poster from my favorite artist's debut album, which is a limited edition of only 500 copies worldwide, alongside the clock","what does user like
what does user prefer
what does user enjoy I was thinking of displaying my signed poster from my favorite artist's debut album, which is a limited edition of only 500 copies worldwide, alongside the clock",eval_row_19928:run_1773452253430_37608_eaee9fa5:parser,,,,[19928],"[""I was thinking of displaying my signed poster from my favorite artist's debut album,"", ""I've been trying to stick to my list and avoid impulse buys"", ""I want to make sure I'm getting the right nutrients to support my endurance"", ""I'm thinking of using a non-linear structure to explore the complexities of my characters'"", ""I'm currently working on my literature review chapter, and I'm trying to make sure"", ""I've been listening to the Hamilton soundtrack non-stop since then, and I've even started""]"
longmemeval_bge_m3,40,longmemeval_ec81a493,How many copies of my favorite artist's debut album were released worldwide?,500,canonical,0.0,1.0,1,mem_a771ac69efc214c3,observation,"I was thinking of displaying my signed poster from my favorite artist's debut album, which is a limited edition of only 500 copies worldwide, alongside the clock","what does user like
what does user prefer
what does user enjoy I was thinking of displaying my signed poster from my favorite artist's debut album, which is a limited edition of only 500 copies worldwide, alongside the clock",eval_row_19928:run_1773452253430_37608_eaee9fa5:parser,,,,[19928],"[""I was thinking of displaying my signed poster from my favorite artist's debut album,"", ""I've been trying to stick to my list and avoid impulse buys"", ""I want to make sure I'm getting the right nutrients to support my endurance"", ""I'm thinking of using a non-linear structure to explore the complexities of my characters'"", ""I'm currently working on my literature review chapter, and I'm trying to make sure"", ""I've been listening to the Hamilton soundtrack non-stop since then, and I've even started""]"
