run_id,dataset,system_label,parser_max_facts,query_index,category,category_label,qa_f1_generated,qa_positive,qa_strong,raw_eligible,raw_hit_at_k,raw_top1,raw_mrr,raw_ndcg,source_eligible,source_hit_at_k,source_top1,source_mrr,source_ndcg,canonical_eligible,canonical_hit_at_k,canonical_top1,canonical_mrr,canonical_ndcg
20260313T065540Z_lexical_full_facts1,LoCoMo,lexical / all-minilm,1,1,2,Temporal,0.6666666666666666,True,True,True,1.0,0.0,0.2,0.38685280723454163,True,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0
20260313T065540Z_lexical_full_facts1,LoCoMo,lexical / all-minilm,1,2,2,Temporal,0.0,False,False,True,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,False,,,,
20260313T065540Z_lexical_full_facts1,LoCoMo,lexical / all-minilm,1,3,3,Open-domain,0.0,False,False,True,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
20260313T065540Z_lexical_full_facts1,LoCoMo,lexical / all-minilm,1,4,1,Multi-hop,0.0,False,False,True,1.0,0.0,0.03225806451612903,0.2,True,1.0,0.0,0.03225806451612903,0.2,False,,,,
20260313T065540Z_lexical_full_facts1,LoCoMo,lexical / all-minilm,1,5,1,Multi-hop,0.0,False,False,True,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
20260313T065540Z_lexical_full_facts1,LoCoMo,lexical / all-minilm,1,6,2,Temporal,0.6666666666666666,True,True,True,1.0,0.0,0.3333333333333333,0.5,True,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0
20260313T065540Z_lexical_full_facts1,LoCoMo,lexical / all-minilm,1,7,2,Temporal,0.4,True,False,True,1.0,0.0,0.08333333333333333,0.27023815442731974,True,1.0,0.0,0.08333333333333333,0.27023815442731974,False,,,,
20260313T065540Z_lexical_full_facts1,LoCoMo,lexical / all-minilm,1,8,1,Multi-hop,0.0,False,False,True,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,False,,,,
20260313T065540Z_lexical_full_facts1,LoCoMo,lexical / all-minilm,1,9,2,Temporal,0.2222222222222222,True,False,True,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,False,,,,
20260313T065540Z_lexical_full_facts1,LoCoMo,lexical / all-minilm,1,10,2,Temporal,0.2222222222222222,True,False,True,1.0,0.0,0.09090909090909091,0.27894294565112987,True,1.0,0.0,0.09090909090909091,0.27894294565112987,False,,,,
20260313T065540Z_lexical_full_facts1,LoCoMo,lexical / all-minilm,1,11,2,Temporal,0.0,False,False,True,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,False,,,,
20260313T065540Z_lexical_full_facts1,LoCoMo,lexical / all-minilm,1,12,1,Multi-hop,0.0,False,False,True,1.0,0.0,0.027777777777777776,0.11769895029887298,True,1.0,0.0,0.027777777777777776,0.11769895029887298,False,,,,
20260313T065540Z_lexical_full_facts1,LoCoMo,lexical / all-minilm,1,13,2,Temporal,0.26666666666666666,True,False,True,1.0,0.0,0.1111111111111111,0.3010299956639812,True,1.0,0.0,0.1111111111111111,0.3010299956639812,False,,,,
20260313T065540Z_lexical_full_facts1,LoCoMo,lexical / all-minilm,1,14,1,Multi-hop,0.0,False,False,True,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
20260313T065540Z_lexical_full_facts1,LoCoMo,lexical / all-minilm,1,15,3,Open-domain,0.0,False,False,True,1.0,0.0,0.030303030303030304,0.23351739371210276,True,1.0,0.0,0.2,0.3577189257782478,True,1.0,0.0,0.2,0.38685280723454163
20260313T065540Z_lexical_full_facts1,LoCoMo,lexical / all-minilm,1,16,1,Multi-hop,0.0,False,False,True,1.0,0.0,0.0625,0.09550669086270785,True,1.0,0.0,0.0625,0.09550669086270785,True,0.0,0.0,0.0,0.0
20260313T065540Z_lexical_full_facts1,LoCoMo,lexical / all-minilm,1,17,2,Temporal,0.3333333333333333,True,False,True,1.0,0.0,0.1,0.2890648263178879,True,1.0,0.0,0.1,0.2890648263178879,False,,,,
20260313T065540Z_lexical_full_facts1,LoCoMo,lexical / all-minilm,1,18,2,Temporal,0.8,True,True,True,1.0,0.0,0.05555555555555555,0.23540891336663824,True,1.0,0.0,0.05555555555555555,0.23540891336663824,False,,,,
20260313T065540Z_lexical_full_facts1,LoCoMo,lexical / all-minilm,1,19,1,Multi-hop,0.0,False,False,True,1.0,0.0,0.125,0.22716749562669103,True,1.0,0.0,0.125,0.22716749562669103,False,,,,
20260313T065540Z_lexical_full_facts1,LoCoMo,lexical / all-minilm,1,20,1,Multi-hop,0.0,False,False,True,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,False,,,,
20260313T065540Z_lexical_full_facts1,LoCoMo,lexical / all-minilm,1,21,2,Temporal,0.3333333333333333,True,False,True,1.0,0.0,0.05555555555555555,0.23540891336663824,True,1.0,0.0,0.05555555555555555,0.23540891336663824,False,,,,
20260313T065540Z_lexical_full_facts1,LoCoMo,lexical / all-minilm,1,22,2,Temporal,0.2222222222222222,True,False,True,1.0,0.0,0.02702702702702703,0.1905514124267734,True,1.0,0.0,0.02702702702702703,0.1905514124267734,False,,,,
20260313T065540Z_lexical_full_facts1,LoCoMo,lexical / all-minilm,1,23,3,Open-domain,0.08695652173913045,True,False,True,1.0,0.0,0.05,0.227670248696953,True,1.0,0.0,0.05,0.227670248696953,False,,,,
20260313T065540Z_lexical_full_facts1,LoCoMo,lexical / all-minilm,1,24,1,Multi-hop,0.0,False,False,True,1.0,0.0,0.16666666666666666,0.36027633868415837,True,1.0,0.0,0.16666666666666666,0.36027633868415837,False,,,,
20260313T065540Z_lexical_full_facts1,LoCoMo,lexical / all-minilm,1,25,1,Multi-hop,0.0,False,False,True,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
20260313T065540Z_lexical_full_facts1,LoCoMo,lexical / all-minilm,1,26,2,Temporal,0.3333333333333333,True,False,True,1.0,0.0,0.07692307692307693,0.26264953503719357,True,1.0,0.0,0.3333333333333333,0.5,True,1.0,0.0,0.3333333333333333,0.5
20260313T065540Z_lexical_full_facts1,LoCoMo,lexical / all-minilm,1,27,2,Temporal,0.0,False,False,True,1.0,0.0,0.0625,0.24465054211822604,True,1.0,0.0,0.0625,0.24465054211822604,False,,,,
